[front_panel]
mode=T2 - R2
output=20 dB
gain=25 dB
probe1=2 MHz
probe2=2 MHz

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2700
units=1

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [mm]	Amplitude	
1,445E+01	1,529E-02	
1,447E+01	1,509E-02	
1,450E+01	1,494E-02	
1,453E+01	1,486E-02	
1,455E+01	1,484E-02	
1,458E+01	1,489E-02	
1,461E+01	1,501E-02	
1,463E+01	1,519E-02	
1,466E+01	1,542E-02	
1,469E+01	1,569E-02	
1,472E+01	1,597E-02	
1,474E+01	1,626E-02	
1,477E+01	1,653E-02	
1,480E+01	1,676E-02	
1,482E+01	1,693E-02	
1,485E+01	1,703E-02	
1,488E+01	1,705E-02	
1,490E+01	1,696E-02	
1,493E+01	1,678E-02	
1,496E+01	1,650E-02	
1,499E+01	1,611E-02	
1,501E+01	1,564E-02	
1,504E+01	1,509E-02	
1,507E+01	1,447E-02	
1,509E+01	1,382E-02	
1,512E+01	1,313E-02	
1,515E+01	1,244E-02	
1,517E+01	1,177E-02	
1,520E+01	1,112E-02	
1,523E+01	1,053E-02	
1,526E+01	1,000E-02	
1,528E+01	9,545E-03	
1,531E+01	9,166E-03	
1,534E+01	8,867E-03	
1,536E+01	8,647E-03	
1,539E+01	8,500E-03	
1,542E+01	8,418E-03	
1,544E+01	8,390E-03	
1,547E+01	8,404E-03	
1,550E+01	8,446E-03	
1,553E+01	8,503E-03	
1,555E+01	8,563E-03	
1,558E+01	8,614E-03	
1,561E+01	8,648E-03	
1,563E+01	8,658E-03	
1,566E+01	8,639E-03	
1,569E+01	8,591E-03	
1,571E+01	8,515E-03	
1,574E+01	8,414E-03	
1,577E+01	8,294E-03	
1,580E+01	8,162E-03	
1,582E+01	8,026E-03	
1,585E+01	7,894E-03	
1,588E+01	7,775E-03	
1,590E+01	7,675E-03	
1,593E+01	7,600E-03	
1,596E+01	7,553E-03	
1,598E+01	7,536E-03	
1,601E+01	7,548E-03	
1,604E+01	7,587E-03	
1,607E+01	7,648E-03	
1,609E+01	7,725E-03	
1,612E+01	7,810E-03	
1,615E+01	7,896E-03	
1,617E+01	7,976E-03	
1,620E+01	8,043E-03	
1,623E+01	8,092E-03	
1,625E+01	8,118E-03	
1,628E+01	8,119E-03	
1,631E+01	8,095E-03	
1,634E+01	8,048E-03	
1,636E+01	7,981E-03	
1,639E+01	7,899E-03	
