time [µs]	Amp[V]	HF [V]	TGC [dB]
70,9	0,009	-0,006	30,866
71,0	0,011	-0,006	30,866
71,1	0,011	-0,006	30,866
71,2	0,009	0,009	30,866
71,3	0,005	0,002	30,866
71,4	0,002	0,002	30,866
71,5	0,001	0,002	30,866
71,6	0,002	0,002	30,866
71,7	0,003	0,002	30,866
71,8	0,005	0,002	30,866
71,9	0,005	-0,006	30,709
72,0	0,004	0,002	30,709
72,1	0,005	0,002	30,866
72,2	0,007	-0,006	30,866
72,3	0,009	0,002	30,866
72,4	0,011	0,009	30,866
72,5	0,009	-0,006	30,866
72,6	0,007	-0,006	30,866
72,7	0,005	0,002	30,866
72,8	0,007	0,002	30,866
72,9	0,012	0,002	30,866
73,0	0,016	0,017	30,866
73,1	0,017	-0,014	30,709
73,2	0,014	0,002	30,709
73,3	0,008	0,002	30,709
73,4	0,004	-0,006	30,709
73,5	0,003	0,002	30,709
73,6	0,006	-0,006	30,866
73,7	0,009	-0,006	30,866
73,8	0,010	0,002	30,866
73,9	0,010	0,009	30,866
74,0	0,008	0,002	30,866
74,1	0,007	-0,006	30,866
74,2	0,008	-0,006	30,866
74,3	0,010	0,002	30,709
74,4	0,013	0,009	30,709
74,5	0,014	-0,014	30,709
74,6	0,013	0,002	30,709
74,7	0,011	0,009	30,709
74,8	0,007	0,002	30,866
74,9	0,005	-0,006	30,709
75,0	0,004	0,002	30,866
75,1	0,004	-0,006	30,866
75,2	0,006	0,002	30,866
75,3	0,006	-0,006	30,866
75,4	0,006	0,002	30,866
75,5	0,004	0,002	30,709
75,6	0,003	0,002	30,866
75,7	0,003	0,002	30,709
75,8	0,006	0,002	30,709
75,9	0,009	0,009	30,709
76,0	0,011	0,009	30,709
76,1	0,010	0,002	30,709
76,2	0,008	-0,006	30,709
76,3	0,006	0,002	30,709
76,4	0,006	-0,006	30,551
76,5	0,008	-0,006	30,551
76,6	0,011	-0,006	30,551
76,7	0,012	-0,014	30,394
76,8	0,012	0,002	29,606
76,9	0,010	0,002	26,929
77,0	0,007	0,009	23,465
77,1	0,006	-0,006	20,000
77,2	0,005	0,002	16,220
77,3	0,005	-0,006	12,441
77,4	0,006	0,002	8,661
77,5	0,007	0,002	5,984
77,6	0,007	-0,006	4,094
77,7	0,007	-0,006	2,835
77,8	0,007	-0,006	1,732
77,9	0,007	-0,006	1,102
78,0	0,007	-0,006	0,787
78,1	0,008	-0,006	0,630
78,2	0,008	-0,006	0,630
78,3	0,009	-0,006	0,630
78,4	0,009	0,002	0,787
78,5	0,009	-0,006	0,787
78,6	0,008	0,002	0,945
78,7	0,007	0,002	1,102
78,8	0,006	0,002	1,102
78,9	0,005	0,002	1,260
79,0	0,004	0,002	1,260
79,1	0,004	0,002	1,260
79,2	0,004	0,002	1,260
79,3	0,004	0,002	1,417
79,4	0,003	0,002	1,417
79,5	0,003	0,002	1,417
79,6	0,003	0,002	1,417
79,7	0,003	0,002	1,417
79,8	0,003	0,002	1,417
79,9	0,003	0,002	1,417
80,0	0,003	0,002	1,417
80,1	0,002	0,002	1,575
80,2	0,002	0,002	1,575
80,3	0,002	0,002	1,417
80,4	0,003	0,002	1,575
80,5	0,002	0,002	1,575
80,6	0,002	0,002	1,575
80,7	0,002	0,002	1,575
80,8	0,002	0,002	1,575
80,9	0,003	0,002	1,575
81,0	0,005	0,002	1,575
81,1	0,006	-0,006	1,575
81,2	0,005	0,002	1,575
81,3	0,004	0,002	1,575
81,4	0,002	0,002	1,575
81,5	0,001	0,002	1,575
81,6	0,002	0,002	1,575
81,7	0,003	0,002	1,575
81,8	0,005	0,002	1,575
81,9	0,006	-0,006	1,575
82,0	0,005	0,002	1,575
82,1	0,004	0,002	1,575
82,2	0,002	0,002	1,575
82,3	0,001	0,002	1,575
82,4	0,002	0,002	1,575
82,5	0,003	0,002	1,575
82,6	0,005	0,002	1,575
82,7	0,005	-0,006	1,575
82,8	0,005	0,002	1,575
82,9	0,003	0,002	1,575
83,0	0,002	0,002	1,575
83,1	0,001	0,002	1,575
83,2	0,001	0,002	1,575
83,3	0,003	0,002	1,575
83,4	0,005	0,002	1,575
83,5	0,007	-0,006	1,575
83,6	0,007	-0,006	1,575
83,7	0,007	0,002	1,575
83,8	0,006	0,002	1,575
83,9	0,005	-0,006	1,575
84,0	0,005	0,002	1,575
84,1	0,004	0,002	1,575
84,2	0,004	0,002	1,575
